Timestamp;		 Model;OuterFold;InnerFold;HPset;Epoch;TrainLoss;TrainAcc;ValLoss;ValAcc;AUC;EMA_ValLoss;LR;NoImprove;LrDrop;EsTriggered;BestValLoss;BestEpoch
09/02/25 - 09:52 ;		 MultiViewCNN;1;1;1;0;0.6964592606790604;0.5483870967741935;0.6954536860988986;0.5483870967741935;0.2815126050420168;0.6954536860988986;0.0002;0;0;0;0.6954536860988986;0
09/02/25 - 09:52 ;		 MultiViewCNN;1;1;1;1;0.6871324046965568;0.5806451612903226;0.6922577984871403;0.5483870967741935;0.47058823529411764;0.694494919815371;0.0002;1;0;0;0.6954536860988986;0
09/02/25 - 09:53 ;		 MultiViewCNN;1;1;1;2;0.686956851713119;0.5645161290322581;0.686538863566614;0.5483870967741935;0.7521008403361344;0.6921081029407439;0.0002;0;0;0;0.686538863566614;2
09/02/25 - 09:53 ;		 MultiViewCNN;1;1;1;3;0.683775496098303;0.5806451612903226;0.6788475724958605;0.5806451612903226;0.76890756302521;0.6881299438072788;0.0002;0;0;0;0.6788475724958605;3
09/02/25 - 09:54 ;		 MultiViewCNN;1;1;1;4;0.6832230956323685;0.6290322580645161;0.673818786298075;0.5806451612903226;0.7436974789915967;0.6838365965545176;0.0002;0;0;0;0.673818786298075;4
09/02/25 - 09:54 ;		 MultiViewCNN;1;1;1;5;0.6672558265347635;0.7258064516129032;0.6692789543059564;0.5483870967741935;0.7436974789915967;0.6794693038799492;0.0002;0;0;0;0.6692789543059564;5
09/02/25 - 09:55 ;		 MultiViewCNN;1;1;1;6;0.668780590257337;0.6451612903225806;0.6656477528233682;0.5483870967741935;0.7521008403361344;0.6753228385629748;0.0002;0;0;0;0.6656477528233682;6
09/02/25 - 09:55 ;		 MultiViewCNN;1;1;1;7;0.6669175240301317;0.7419354838709677;0.6618932543262359;0.6129032258064516;0.7563025210084033;0.6712939632919531;0.0002;0;0;0;0.6618932543262359;7
09/02/25 - 09:56 ;		 MultiViewCNN;1;1;1;8;0.6632751822471619;0.6451612903225806;0.6578225820295273;0.6451612903225806;0.7563025210084034;0.6672525489132253;0.0002;0;0;0;0.6578225820295273;8
09/02/25 - 09:56 ;		 MultiViewCNN;1;1;1;9;0.6594172350821956;0.7258064516129032;0.6542428481963373;0.6451612903225806;0.7563025210084033;0.6633496386981588;0.0002;0;0;0;0.6542428481963373;9
09/02/25 - 09:57 ;		 MultiViewCNN;1;1;1;10;0.6514068342024281;0.7419354838709677;0.6499814871818789;0.6129032258064516;0.7605042016806722;0.6593391932432747;0.0002;0;0;0;0.6499814871818789;10
09/02/25 - 09:57 ;		 MultiViewCNN;1;1;1;11;0.6401966521816869;0.6774193548387096;0.6461416732880377;0.6129032258064516;0.7563025210084033;0.6553799372567036;0.0002;0;0;0;0.6461416732880377;11
09/02/25 - 09:58 ;		 MultiViewCNN;1;1;1;12;0.6458688532152483;0.7419354838709677;0.643827001894674;0.6129032258064516;0.7352941176470589;0.6519140566480948;0.0002;0;0;0;0.643827001894674;12
09/02/25 - 09:58 ;		 MultiViewCNN;1;1;1;13;0.6480377162656477;0.6935483870967742;0.6397999505842885;0.5806451612903226;0.73109243697479;0.6482798248289529;0.0002;0;0;0;0.6397999505842885;13
09/02/25 - 09:59 ;		 MultiViewCNN;1;1;1;14;0.6332040121478419;0.6935483870967742;0.6356389445643271;0.5806451612903226;0.73109243697479;0.644487560749565;0.0002;0;0;0;0.6356389445643271;14
09/02/25 - 09:59 ;		 MultiViewCNN;1;1;1;15;0.6311104816775168;0.7580645161290323;0.6286900831807044;0.6129032258064516;0.7394957983193277;0.6397483174789068;0.0002;0;0;0;0.6286900831807044;15
09/02/25 - 10:00 ;		 MultiViewCNN;1;1;1;16;0.6078739166259766;0.7903225806451613;0.6249438062790902;0.6129032258064516;0.7436974789915967;0.6353069641189618;0.0002;0;0;0;0.6249438062790902;16
09/02/25 - 10:01 ;		 MultiViewCNN;1;1;1;17;0.6097880736474068;0.7419354838709677;0.6248191768123258;0.5806451612903226;0.7352941176470589;0.6321606279269709;0.0002;0;0;0;0.6248191768123258;17
